code,name,image
0004,TPU 曼塔紫,images/aks_colorppf_GTPU-0004.jpg
0005,TPU 緞面神祕黑,images/aks_colorppf_GTPU-0005.jpg
0006,TPU 液態金屬槍灰,images/aks_colorppf_GTPU-0006.jpg
0007,TPU 液態金屬銀,images/aks_colorppf_GTPU-0007.jpg
0008,TPU 液態金屬龍血紅,images/aks_colorppf_GTPU-0008.jpg
0010,TPU 金屬 GT 銀,images/aks_colorppf_GTPU-0010.jpg
0015,TPU 消光隕石灰,images/aks_colorppf_GTPU-0015.jpg
0021,TPU 消光卡普里灰紫,images/aks_colorppf_GTPU-0021.jpg
0022,TPU 消光礦石白,images/aks_colorppf_GTPU-0022.jpg
0024,TPU 熔岩橘 (Porsche),images/aks_colorppf_GTPU-0024.jpg
0026,TPU 深翠綠,images/aks_colorppf_GTPU-0026.jpg
0028,TPU 地獄綠 (Audi),images/aks_colorppf_GTPU-0028.jpg
0029,TPU 冰川藍 B,images/aks_colorppf_GTPU-0029.jpg
0030,TPU 邁阿密藍,images/aks_colorppf_GTPU-0030.jpg
0033,TPU 胡椒白,images/aks_colorppf_GTPU-0033.jpg
0034,TPU 秋藍,images/aks_colorppf_GTPU-0034.jpg
0036,TPU 盧加諾藍,images/aks_colorppf_GTPU-0036.jpg
0037,TPU 摩根石粉,images/aks_colorppf_GTPU-0037.jpg
0044,TPU 金屬黑橄欖綠,images/aks_colorppf_GTPU-0044.jpg
0046,TPU 亮面碳纖維,images/aks_colorppf_GTPU-0046.jpg
0050,TPU 消光毒液綠,images/aks_colorppf_GTPU-0050.jpg
0052,TPU 緞面液態金屬星瀚銀,images/aks_colorppf_GTPU-0052.jpg
0054,TPU 緞面液態金屬鎢鋼,images/aks_colorppf_GTPU-0054.jpg
0057,TPU 緞面液態金屬索瑪托藍,images/aks_colorppf_GTPU-0057.jpg
0059,TPU 法蘭西斯卡綠,images/aks_colorppf_GTPU-0059.jpg
0061,TPU 金屬砂金石綠,images/aks_colorppf_GTPU-0061.jpg
0062,TPU 拜倫灣藍,images/aks_colorppf_GTPU-0062.jpg
0066,TPU 納瓦拉藍 (Audi),images/aks_colorppf_GTPU-0066.jpg
0067,TPU 冰莓粉 (Porsche),images/aks_colorppf_GTPU-0067.jpg
0069,TPU 金屬午夜紫,images/aks_colorppf_GTPU-0069.jpg
0070,TPU 液態金屬威尼斯紫,images/aks_colorppf_GTPU-0070.jpg
0072,TPU 灰紫羅蘭 (Bentley),images/aks_colorppf_GTPU-0072.jpg
0074,TPU 冰川藍 (Tesla),images/aks_colorppf_GTPU-0074.jpg
0076,TPU 森林綠,images/aks_colorppf_GTPU-0076.jpg
0077,TPU 緋紅色,images/aks_colorppf_GTPU-0077.jpg
0078,TPU 藍晶黑,images/aks_colorppf_GTPU-0078.jpg
0079,TPU 金屬橡樹綠,images/aks_colorppf_GTPU-0079.jpg
0082,TPU 馬德拉金金屬漆 (Porsche),images/aks_colorppf_GTPU-0082.jpg
0083,TPU 蒙特戈藍金屬漆,images/aks_colorppf_GTPU-0083.jpg
0088,TPU 坎布里亞綠,images/aks_colorppf_GTPU-0088.jpg
0089,TPU 金屬賽車綠(Aston Martin),images/aks_colorppf_GTPU-0089.jpg
0090,TPU 金屬紫水晶,images/aks_colorppf_GTPU-0090.jpg
0091,TPU 消光神秘綠,images/aks_colorppf_GTPU-0091.jpg
0093,TPU 消光玫瑰金,images/aks_colorppf_GTPU-0093.jpg
0098,TPU 緞面暮光金,images/aks_colorppf_GTPU-0098.jpg
0099,TPU 緞面液態金屬貝殼粉,images/aks_colorppf_GTPU-0099.jpg
0104,TPU 桃紅木,images/aks_colorppf_GTPU-0104.jpg
0109,TPU 賽車綠 (Porsche),images/aks_colorppf_GTPU-0109.jpg
0110,TPU 巧克力,images/aks_colorppf_GTPU-0110.jpg
0111,TPU 摩德納黃 (Ferrari),images/aks_colorppf_GTPU-0111.jpg
0112,TPU 阿拉伯灰,images/aks_colorppf_GTPU-0112.jpg
0123,TPU 競速橘 (BMW),images/aks_colorppf_GTPU-0123.jpg
0126,TPU 祖母綠,images/aks_colorppf_GTPU-0126.jpg
0128,TPU 中金星空粉 (Retro),images/aks_colorppf_GTPU-0128.jpg
0131,TPU 火山黃,images/aks_colorppf_GTPU-0131.jpg
0139,TPU 魔焰金紅 (Ferrari),images/aks_colorppf_GTPU-0139.jpg
0141,TPU 消光金屬 STO 賽道金綠 (Lamborghini),images/aks_colorppf_GTPU-0141.jpg
0144,TPU 消光液態金屬暗影金 (Lamborghini),images/aks_colorppf_GTPU-0144.jpg
0145,TPU 消光暗影灰 (Lamborghini),images/aks_colorppf_GTPU-0145.jpg
0146,TPU 消光戰鬥綠 (Lamborghini),images/aks_colorppf_GTPU-0146.jpg
0149,TPU 消光閃耀橘,images/aks_colorppf_GTPU-0149.jpg
0154,TPU 消光黑幻藍,images/aks_colorppf_GTPU-0154.jpg
0155,TPU 消光魔焰寶石紅,images/aks_colorppf_GTPU-0155.jpg
0156,TPU 聖托里尼黑 (Land Rover),images/aks_colorppf_GTPU-0156.jpg
0157,TPU 白變金,images/aks_colorppf_GTPU-0157.jpg
0159,TPU 流光黑魅紅,images/aks_colorppf_GTPU-0159.jpg
0160,TPU 雷射閃白,images/aks_colorppf_GTPU-0160.jpg
0161,TPU 雷射黑,images/aks_colorppf_GTPU-0161.jpg
0163,TPU 康乃馨粉,images/aks_colorppf_GTPU-0163.jpg
0164,TPU 修復法拉利紅,images/aks_colorppf_GTPU-0164.jpg
0165,TPU 玫琳凱粉,images/aks_colorppf_GTPU-0165.jpg
0167,TPU 星光寶石紅,images/aks_colorppf_GTPU-0167.jpg
