檔名,編碼,繁體中文色名
aks_colorppf_GTPU-0001.jpg,GTPU-0001,TPU 緞面冰霜白
aks_colorppf_GTPU-0002.jpg,GTPU-0002,TPU 法拉利紅 (Ferrari)
aks_colorppf_GTPU-0003.jpg,GTPU-0003,TPU 鋼琴黑
aks_colorppf_GTPU-0004.jpg,GTPU-0004,TPU 曼塔紫
aks_colorppf_GTPU-0005.jpg,GTPU-0005,TPU 緞面神祕黑
aks_colorppf_GTPU-0006.jpg,GTPU-0006,TPU 液態金屬槍灰
aks_colorppf_GTPU-0007.jpg,GTPU-0007,TPU 液態金屬銀
aks_colorppf_GTPU-0008.jpg,GTPU-0008,TPU 液態金屬龍血紅
aks_colorppf_GTPU-0010.jpg,GTPU-0010,TPU 金屬 GT 銀
aks_colorppf_GTPU-0012.jpg,GTPU-0012,TPU 夢幻皇家紫
aks_colorppf_GTPU-0013.jpg,GTPU-0013,TPU 暮色玫瑰
aks_colorppf_GTPU-0014.jpg,GTPU-0014,TPU 消光黑幻紫
aks_colorppf_GTPU-0015.jpg,GTPU-0015,TPU 消光隕石灰
aks_colorppf_GTPU-0017.jpg,GTPU-0017,TPU 消光AMG山灰
aks_colorppf_GTPU-0018.jpg,GTPU-0018,TPU 消光金屬墨綠
aks_colorppf_GTPU-0019.jpg,GTPU-0019,TPU 消光黑
aks_colorppf_GTPU-0021.jpg,GTPU-0021,TPU 消光卡普里灰紫
aks_colorppf_GTPU-0022.jpg,GTPU-0022,TPU 消光礦石白
aks_colorppf_GTPU-0023.jpg,GTPU-0023,TPU 消光星際黑
aks_colorppf_GTPU-0024.jpg,GTPU-0024,TPU 熔岩橘 (Porsche)
aks_colorppf_GTPU-0026.jpg,GTPU-0026,TPU 深翠綠
aks_colorppf_GTPU-0027.jpg,GTPU-0027,TPU 翠柚綠 (Porsche)
aks_colorppf_GTPU-0028.jpg,GTPU-0028,TPU 地獄綠 (Audi)
aks_colorppf_GTPU-0029.jpg,GTPU-0029,TPU 冰川藍 B
aks_colorppf_GTPU-0030.jpg,GTPU-0030,TPU 邁阿密藍
aks_colorppf_GTPU-0031.jpg,GTPU-0031,TPU 瓷器藍
aks_colorppf_GTPU-0033.jpg,GTPU-0033,TPU 胡椒白
aks_colorppf_GTPU-0034.jpg,GTPU-0034,TPU 秋藍
aks_colorppf_GTPU-0036.jpg,GTPU-0036,TPU 盧加諾藍
aks_colorppf_GTPU-0037.jpg,GTPU-0037,TPU 摩根石粉
aks_colorppf_GTPU-0040.jpg,GTPU-0040,TPU 迷霧灰紫
aks_colorppf_GTPU-0042.jpg,GTPU-0042,TPU 普羅旺斯紫
aks_colorppf_GTPU-0044.jpg,GTPU-0044,TPU 金屬黑橄欖綠
aks_colorppf_GTPU-0046.jpg,GTPU-0046,TPU 亮面碳纖維
aks_colorppf_GTPU-0048.jpg,GTPU-0048,TPU 消光碳纖維
aks_colorppf_GTPU-0049.jpg,GTPU-0049,TPU 消光液態金屬銀
aks_colorppf_GTPU-0050.jpg,GTPU-0050,TPU 消光毒液綠
aks_colorppf_GTPU-0052.jpg,GTPU-0052,TPU 緞面液態金屬星瀚銀
aks_colorppf_GTPU-0054.jpg,GTPU-0054,TPU 緞面液態金屬鎢鋼
aks_colorppf_GTPU-0057.jpg,GTPU-0057,TPU 緞面液態金屬索瑪托藍
aks_colorppf_GTPU-0059.jpg,GTPU-0059,TPU 法蘭西斯卡綠
